pokédex_number, name, form_symbol, species, type_1, type_2, ability_1, ability_2, ability_hidden, height_m, weight_kg, catch_rate, friendship, exp, male_percent, egg_cycles, growth_rate, egg_type_1, egg_type_2, hp, attack, defense, sp_attack, sp_defense, speed
9, Mega Blastoise, m, Shellfish, Water, , Mega Launcher, , , 1.6, 101.1, 45, 70, 284, 87.5, 20, Medium Slow, Monster, Water 1, 79, 103, 120, 135, 115, 78
10, Caterpie, , Worm, Bug, , Shield Dust, , Run Away, 0.3, 2.9, 255, 70, 39, 50, 15, Medium Fast, Bug, , 45, 30, 35, 20, 20, 45
11, Metapod, , Cocoon, Bug, , Shed Skin, , , 0.7, 9.9, 120, 70, 72, 50, 15, Medium Fast, Bug, , 50, 20, 55, 25, 25, 30
12, Butterfree, , Butterfly, Bug, Flying, Compound Eyes, , Tinted Lens, 1.1, 32, 45, 70, 178, 50, 15, Medium Fast, Bug, , 60, 45, 50, 90, 80, 70
13, Weedle, , Hairy Bug, Bug, Poison, Shield Dust, , Run Away, 0.3, 3.2, 255, 70, 39, 50, 15, Medium Fast, Bug, , 40, 35, 30, 20, 20, 50
14, Kakuna, , Cocoon, Bug, Poison, Shed Skin, , , 0.6, 10, 120, 70, 72, 50, 15, Medium Fast, Bug, , 45, 25, 50, 25, 25, 35
15, Beedrill, , Poison Bee, Bug, Poison, Swarm, , Sniper, 1, 29.5, 45, 70, 178, 50, 15, Medium Fast, Bug, , 65, 90, 40, 45, 80, 75
15, Mega Beedrill, m, Poison Bee, Bug, Poison, Adaptability, , , 1.4, 40.5, 45, 70, 223, 50, 15, Medium Fast, Bug, , 65, 150, 40, 15, 80, 145
16, Pidgey, , Tiny Bird, Normal, Flying, Keen Eye, Tangled Feet, Big Pecks, 0.3, 1.8, 255, 70, 50, 50, 15, Medium Slow, Flying, , 40, 45, 40, 35, 35, 56
17, Pidgeotto, , Bird, Normal, Flying, Keen Eye, Tangled Feet, Big Pecks, 1.1, 30, 120, 70, 122, 50, 15, Medium Slow, Flying, , 63, 60, 55, 50, 50, 71
18, Pidgeot, , Bird, Normal, Flying, Keen Eye, Tangled Feet, Big Pecks, 1.5, 39.5, 45, 70, 216, 50, 15, Medium Slow, Flying, , 83, 80, 75, 70, 70, 101
18, Mega Pidgeot, m, Bird, Normal, Flying, No Guard, , , 2.2, 50.5, 45, 70, 261, 50, 15, Medium Slow, Flying, , 83, 80, 80, 135, 80, 121
19, Rattata, , Mouse, Normal, , Run Away, Guts, Hustle, 0.3, 3.5, 255, 70, 51, 50, 15, Medium Fast, Field, , 30, 56, 35, 25, 35, 72
19, Alolan Rattata, a, Mouse, Dark, Normal, Gluttony, Hustle, Thick Fat, 0.3, 3.8, 255, 70, 51, 50, 15, Medium Fast, Field, , 30, 56, 35, 25, 35, 72
20, Raticate, , Mouse, Normal, , Run Away, Guts, Hustle, 0.7, 18.5, 127, 70, 145, 50, 15, Medium Fast, Field, , 55, 81, 60, 50, 70, 97
20, Alolan Raticate, a, Mouse, Dark, Normal, Gluttony, Hustle, Thick Fat, 0.7, 25.5, 127, 70, 145, 50, 15, Medium Fast, Field, , 75, 71, 70, 40, 80, 77
21, Spearow, , Tiny Bird, Normal, Flying, Keen Eye, , Sniper, 0.3, 2, 255, 70, 52, 50, 15, Medium Fast, Flying, , 40, 60, 30, 31, 31, 70
22, Fearow, , Beak, Normal, Flying, Keen Eye, , Sniper, 1.2, 38, 90, 70, 155, 50, 15, Medium Fast, Flying, , 65, 90, 65, 61, 61, 100
23, Ekans, , Snake, Poison, , Intimidate, Shed Skin, Unnerve, 2, 6.9, 255, 70, 58, 50, 20, Medium Fast, Dragon, Field, 35, 60, 44, 40, 54, 55
24, Arbok, , Cobra, Poison, , Intimidate, Shed Skin, Unnerve, 3.5, 65, 90, 70, 157, 50, 20, Medium Fast, Dragon, Field, 60, 95, 69, 65, 79, 80
25, Pikachu, , Mouse, Electric, , Static, , Lightning Rod, 0.4, 6, 190, 70, 112, 50, 10, Medium Fast, Fairy, Field, 35, 55, 40, 50, 50, 90
25, Cap Pikachu, o~h~s~u~k~a~p~w, Mouse, Electric, , Static, , Lightning Rod, 0.4, 6, 190, 70, 112, 50, 10, Medium Fast, Fairy, Field, 35, 55, 40, 50, 50, 90
25, Partner Pikachu, , Mouse, Electric, , Static, , Lightning Rod, 0.4, 6, 190, 70, 112, 50, 10, Medium Fast, Fairy, Field, 45, 80, 50, 75, 60, 120
26, Raichu, , Mouse, Electric, , Static, , Lightning Rod, 0.8, 30, 75, 70, 218, 50, 10, Medium Fast, Fairy, Field, 60, 90, 55, 90, 80, 110
26, Alolan Raichu, a, Mouse, Electric, Psychic, Surge Surfer, , , 0.7, 21, 75, 70, 218, 50, 10, Medium Fast, Fairy, Field, 60, 85, 50, 95, 85, 110
27, Sandshrew, , Mouse, Ground, , Sand Veil, , Sand Rush, 0.6, 12, 255, 70, 60, 50, 20, Medium Fast, Field, , 50, 75, 85, 20, 30, 40
27, Alolan Sandshrew, a, Mouse, Ice, Steel, Snow Cloak, , Slush Rush, 0.7, 40, 255, 70, 60, 50, 20, Medium Fast, Field, , 50, 75, 90, 10, 35, 40
28, Sandslash, , Mouse, Ground, , Sand Veil, , Sand Rush, 1, 29.5, 90, 70, 158, 50, 20, Medium Fast, Field, , 75, 100, 110, 45, 55, 65
28, Alolan Sandslash, a, Mouse, Ice, Steel, Snow Cloak, , Slush Rush, 1.2, 55, 90, 70, 158, 50, 20, Medium Fast, Field, , 75, 100, 120, 25, 65, 65
29, Nidoran♀, , Poison Pin, Poison, , Poison Point, Rivalry, Hustle, 0.4, 7, 235, 70, 55, 0, 20, Medium Slow, Field, Monster, 55, 47, 52, 40, 40, 41
30, Nidorina, , Poison Pin, Poison, , Poison Point, Rivalry, Hustle, 0.8, 20, 120, 70, 128, 0, 20, Medium Slow, Undiscovered, , 70, 62, 67, 55, 55, 56
31, Nidoqueen, , Drill, Poison, Ground, Poison Point, Rivalry, Sheer Force, 1.3, 60, 45, 70, 227, 0, 20, Medium Slow, Undiscovered, , 90, 92, 87, 75, 85, 76
32, Nidoran♂, , Poison Pin, Poison, , Poison Point, Rivalry, Hustle, 0.5, 9, 235, 70, 55, 100, 20, Medium Slow, Field, Monster, 46, 57, 40, 40, 40, 50
33, Nidorino, , Poison Pin, Poison, , Poison Point, Rivalry, Hustle, 0.9, 19.5, 120, 70, 128, 100, 20, Medium Slow, Field, Monster, 61, 72, 57, 55, 55, 65
34, Nidoking, , Drill, Poison, Ground, Poison Point, Rivalry, Sheer Force, 1.4, 62, 45, 70, 227, 100, 20, Medium Slow, Field, Monster, 81, 102, 77, 85, 75, 85
35, Clefairy, , Fairy, Fairy, , Cute Charm, Magic Guard, Friend Guard, 0.6, 7.5, 150, 140, 113, 25, 10, Fast, Fairy, , 70, 45, 48, 60, 65, 35
36, Clefable, , Fairy, Fairy, , Cute Charm, Magic Guard, Unaware, 1.3, 40, 25, 140, 217, 25, 10, Fast, Fairy, , 95, 70, 73, 95, 90, 60
37, Vulpix, , Fox, Fire, , Flash Fire, , Drought, 0.6, 9.9, 190, 70, 60, 25, 20, Medium Fast, Field, , 38, 41, 40, 50, 65, 65
37, Alolan Vulpix, a, Fox, Ice, , Snow Cloak, , Snow Warning, 0.6, 9.9, 190, 70, 60, 25, 20, Medium Fast, Field, , 38, 41, 40, 50, 65, 65
38, Ninetales, , Fox, Fire, , Flash Fire, , Drought, 1.1, 19.9, 75, 70, 177, 25, 20, Medium Fast, Field, , 73, 76, 75, 81, 100, 100
38, Alolan Ninetales, a, Fox, Ice, Fairy, Snow Cloak, , Snow Warning, 1.1, 19.9, 75, 70, 177, 25, 20, Medium Fast, Field, , 73, 67, 75, 81, 100, 109
39, Jigglypuff, , Balloon, Normal, Fairy, Cute Charm, Competitive, Friend Guard, 0.5, 5.5, 170, 70, 95, 25, 10, Fast, Fairy, , 115, 45, 20, 45, 25, 20
40, Wigglytuff, , Balloon, Normal, Fairy, Cute Charm, Competitive, Frisk, 1, 12, 50, 70, 196, 25, 10, Fast, Fairy, , 140, 70, 45, 85, 50, 45
41, Zubat, , Bat, Poison, Flying, Inner Focus, , Infiltrator, 0.8, 7.5, 255, 70, 49, 50, 15, Medium Fast, Flying, , 40, 45, 35, 30, 40, 55
42, Golbat, , Bat, Poison, Flying, Inner Focus, , Infiltrator, 1.6, 55, 90, 70, 159, 50, 15, Medium Fast, Flying, , 75, 80, 70, 65, 75, 90
43, Oddish, , Weed, Grass, Poison, Chlorophyll, , Run Away, 0.5, 5.4, 255, 70, 64, 50, 20, Medium Slow, Grass, , 45, 50, 55, 75, 65, 30
44, Gloom, , Weed, Grass, Poison, Chlorophyll, , Stench, 0.8, 8.6, 120, 70, 138, 50, 20, Medium Slow, Grass, , 60, 65, 70, 85, 75, 40
45, Vileplume, , Flower, Grass, Poison, Chlorophyll, , Effect Spore, 1.2, 18.6, 45, 70, 221, 50, 20, Medium Slow, Grass, , 75, 80, 85, 110, 90, 50
46, Paras, , Mushroom, Bug, Grass, Effect Spore, Dry Skin, Damp, 0.3, 5.4, 190, 70, 57, 50, 20, Medium Fast, Bug, Grass, 35, 70, 55, 45, 55, 25
47, Parasect, , Mushroom, Bug, Grass, Effect Spore, Dry Skin, Damp, 1, 29.5, 75, 70, 142, 50, 20, Medium Fast, Bug, Grass, 60, 95, 80, 60, 80, 30
48, Venonat, , Insect, Bug, Poison, Compound Eyes, Tinted Lens, Run Away, 1, 30, 190, 70, 61, 50, 20, Medium Fast, Bug, , 60, 55, 50, 40, 55, 45
49, Venomoth, , Poison Moth, Bug, Poison, Shield Dust, Tinted Lens, Wonder Skin, 1.5, 12.5, 75, 70, 158, 50, 20, Medium Fast, Bug, , 70, 65, 60, 90, 75, 90
50, Diglett, , Mole, Ground, , Sand Veil, Arena Trap, Sand Force, 0.2, 0.8, 255, 70, 53, 50, 20, Medium Fast, Field, , 10, 55, 25, 35, 45, 95
50, Alolan Diglett, a, Mole, Ground, Steel, Sand Veil, Tangling Hair, Sand Force, 0.2, 1, 255, 70, 53, 50, 20, Medium Fast, Field, , 10, 55, 30, 35, 45, 90
51, Dugtrio, , Mole, Ground, , Sand Veil, Arena Trap, Sand Force, 0.7, 33.3, 50, 70, 149, 50, 20, Medium Fast, Field, , 35, 100, 50, 50, 70, 120
51, Alolan Dugtrio, a, Mole, Ground, Steel, Sand Veil, Tangling Hair, Sand Force, 0.7, 66.6, 50, 70, 149, 50, 20, Medium Fast, Field, , 35, 100, 60, 50, 70, 110
52, Meowth, , Scratch Cat, Normal, , Pickup, Technician, Unnerve, 0.4, 4.2, 255, 70, 58, 50, 20, Medium Fast, Field, , 40, 45, 35, 40, 40, 90
52, Alolan Meowth, a, Scratch Cat, Dark, , Pickup, Technician, Rattled, 0.4, 4.2, 255, 70, 58, 50, 20, Medium Fast, Field, , 40, 35, 35, 50, 40, 90
52, Galarian Meowth, g, Scratch Cat, Steel, , Pickup, Tough Claws, Unnerve, 0.4, 7.5, 255, 70, 58, 50, 20, Medium Fast, Field, , 50, 65, 55, 40, 40, 40
53, Persian, , Classy Cat, Normal, , Limber, Technician, Unnerve, 1, 32, 90, 70, 154, 50, 20, Medium Fast, Field, , 65, 70, 60, 65, 65, 115
53, Alolan Persian, a, Classy Cat, Dark, , Fur Coat, Technician, Rattled, 1.1, 33, 90, 70, 154, 50, 20, Medium Fast, Field, , 65, 60, 60, 75, 65, 115
54, Psyduck, , Duck, Water, , Damp, Cloud Nine, Swift Swim, 0.8, 19.6, 190, 70, 64, 50, 20, Medium Fast, Field, Water 1, 50, 52, 48, 65, 50, 55
55, Golduck, , Duck, Water, , Damp, Cloud Nine, Swift Swim, 1.7, 76.6, 75, 70, 175, 50, 20, Medium Fast, Field, Water 1, 80, 82, 78, 95, 80, 85
56, Mankey, , Pig Monkey, Fighting, , Vital Spirit, Anger Point, Defiant, 0.5, 28, 190, 70, 61, 50, 20, Medium Fast, Field, , 40, 80, 35, 35, 45, 70
57, Primeape, , Pig Monkey, Fighting, , Vital Spirit, Anger Point, Defiant, 1, 32, 75, 70, 159, 50, 20, Medium Fast, Field, , 65, 105, 60, 60, 70, 95
58, Growlithe, , Puppy, Fire, , Intimidate, Flash Fire, Justified, 0.7, 19, 190, 70, 70, 75, 20, Slow, Field, , 55, 70, 45, 70, 50, 60
58, Hisuian Growlithe, h, Scout, Fire, Rock, Intimidate, Flash Fire, Rock Head, 0.8, 22.7, 190, 70, 70, 75, 20, Slow, Field, , 60, 75, 45, 65, 50, 55
59, Arcanine, , Legendary, Fire, , Intimidate, Flash Fire, Justified, 1.9, 155, 75, 70, 194, 75, 20, Slow, Field, , 90, 110, 80, 100, 80, 95
59, Hisuian Arcanine, h, Legendary, Fire, Rock, Intimidate, Flash Fire, Rock Head, 2, 168, 75, 70, 194, 75, 20, Slow, Field, , 95, 115, 80, 95, 80, 90
60, Poliwag, , Tadpole, Water, , Water Absorb, Damp, Swift Swim, 0.6, 12.4, 255, 70, 60, 50, 20, Medium Slow, Water 1, , 40, 50, 40, 40, 40, 90
61, Poliwhirl, , Tadpole, Water, , Water Absorb, Damp, Swift Swim, 1, 20, 120, 70, 135, 50, 20, Medium Slow, Water 1, , 65, 65, 65, 50, 50, 90
62, Poliwrath, , Tadpole, Water, Fighting, Water Absorb, Damp, Swift Swim, 1.3, 54, 45, 70, 230, 50, 20, Medium Slow, Water 1, , 90, 95, 95, 70, 90, 70
63, Abra, , Psi, Psychic, , Synchronize, Inner Focus, Magic Guard, 0.9, 19.5, 200, 70, 62, 75, 20, Medium Slow, Human-Like, , 25, 20, 15, 105, 55, 90
64, Kadabra, , Psi, Psychic, , Synchronize, Inner Focus, Magic Guard, 1.3, 56.5, 100, 70, 140, 75, 20, Medium Slow, Human-Like, , 40, 35, 30, 120, 70, 105
65, Alakazam, , Psi, Psychic, , Synchronize, Inner Focus, Magic Guard, 1.5, 48, 50, 70, 225, 75, 20, Medium Slow, Human-Like, , 55, 50, 45, 135, 95, 120
65, Mega Alakazam, m, Psi, Psychic, , Trace, , , 1.2, 48, 50, 70, 270, 75, 20, Medium Slow, Human-Like, , 55, 50, 65, 175, 105, 150
66, Machop, , Superpower, Fighting, , Guts, No Guard, Steadfast, 0.8, 19.5, 180, 70, 61, 75, 20, Medium Slow, Human-Like, , 70, 80, 50, 35, 35, 35
67, Machoke, , Superpower, Fighting, , Guts, No Guard, Steadfast, 1.5, 70.5, 90, 70, 142, 75, 20, Medium Slow, Human-Like, , 80, 100, 70, 50, 60, 45
68, Machamp, , Superpower, Fighting, , Guts, No Guard, Steadfast, 1.6, 130, 45, 70, 227, 75, 20, Medium Slow, Human-Like, , 90, 130, 80, 65, 85, 55
69, Bellsprout, , Flower, Grass, Poison, Chlorophyll, , Gluttony, 0.7, 4, 255, 70, 60, 50, 20, Medium Slow, Grass, , 50, 75, 35, 70, 30, 40
70, Weepinbell, , Flycatcher, Grass, Poison, Chlorophyll, , Gluttony, 1, 6.4, 120, 70, 137, 50, 20, Medium Slow, Grass, , 65, 90, 50, 85, 45, 55
71, Victreebel, , Flycatcher, Grass, Poison, Chlorophyll, , Gluttony, 1.7, 15.5, 45, 70, 221, 50, 20, Medium Slow, Grass, , 80, 105, 65, 100, 70, 70
72, Tentacool, , Jellyfish, Water, Poison, Clear Body, Liquid Ooze, Rain Dish, 0.9, 45.5, 190, 70, 67, 50, 20, Slow, Water 3, , 40, 40, 35, 50, 100, 70
73, Tentacruel, , Jellyfish, Water, Poison, Clear Body, Liquid Ooze, Rain Dish, 1.6, 55, 60, 70, 180, 50, 20, Slow, Water 3, , 80, 70, 65, 80, 120, 100
74, Geodude, , Rock, Rock, Ground, Rock Head, Sturdy, Sand Veil, 0.4, 20, 255, 70, 60, 50, 15, Medium Slow, Mineral, , 40, 80, 100, 30, 30, 20
74, Alolan Geodude, a, Rock, Rock, Electric, Magnet Pull, Sturdy, Galvanize, 0.4, 20.3, 255, 70, 60, 50, 15, Medium Slow, Mineral, , 40, 80, 100, 30, 30, 20
75, Graveler, , Rock, Rock, Ground, Rock Head, Sturdy, Sand Veil, 1, 105, 120, 70, 137, 50, 15, Medium Slow, Mineral, , 55, 95, 115, 45, 45, 35
75, Alolan Graveler, a, Rock, Rock, Electric, Magnet Pull, Sturdy, Galvanize, 1, 110, 120, 70, 137, 50, 15, Medium Slow, Mineral, , 55, 95, 115, 45, 45, 35
76, Golem, , Megaton, Rock, Ground, Rock Head, Sturdy, Sand Veil, 1.4, 300, 45, 70, 223, 50, 15, Medium Slow, Mineral, , 80, 120, 130, 55, 65, 45
76, Alolan Golem, a, Megaton, Rock, Electric, Magnet Pull, Sturdy, Galvanize, 1.7, 316, 45, 70, 223, 50, 15, Medium Slow, Mineral, , 80, 120, 130, 55, 65, 45
77, Ponyta, , Fire Horse, Fire, , Run Away, Flash Fire, Flame Body, 1, 30, 190, 70, 82, 50, 20, Medium Fast, Field, , 50, 85, 55, 65, 65, 90
77, Galarian Ponyta, g, Unique Horn, Psychic, , Run Away, Pastel Veil, Anticipation, 0.8, 24, 190, 70, 82, , 20, Medium Fast, Field, , 50, 85, 55, 65, 65, 90
78, Rapidash, , Fire Horse, Fire, , Run Away, Flash Fire, Flame Body, 1.7, 95, 60, 70, 175, 50, 20, Medium Fast, Field, , 65, 100, 70, 80, 80, 105
78, Galarian Rapidash, g, Unique Horn, Psychic, Fairy, Run Away, Pastel Veil, Anticipation, 1.7, 80, 60, 70, 175, , 20, Medium Fast, Field, , 65, 100, 70, 80, 80, 105
79, Slowpoke, , Dopey, Water, Psychic, Oblivious, Own Tempo, Regenerator, 1.2, 36, 190, 70, 63, 50, 20, Medium Fast, Monster, Water 1, 90, 65, 65, 40, 40, 15
79, Galarian Slowpoke, g, Dopey, Psychic, , Gluttony, Own Tempo, Regenerator, 1.2, 36, 190, 70, 63, 50, 20, Medium Fast, Monster, Water 1, 90, 65, 65, 40, 40, 15
80, Slowbro, , Hermit Crab, Water, Psychic, Oblivious, Own Tempo, Regenerator, 1.6, 78.5, 75, 70, 172, 50, 20, Medium Fast, Monster, Water 1, 95, 75, 110, 100, 80, 30
80, Galarian Slowbro, g, Hermit Crab, Poison, Psychic, Quick Draw, Own Tempo, Regenerator, 1.6, 70.5, 75, 70, , 50, 20, Medium Fast, Monster, Water 1, 95, 100, 95, 100, 70, 30
80, Mega Slowbro, m, Hermit Crab, Water, Psychic, Shell Armor, , , 2, 120, 75, 70, 207, 50, 20, Medium Fast, Monster, Water 1, 95, 75, 180, 130, 80, 30
81, Magnemite, , Magnet, Electric, Steel, Magnet Pull, Sturdy, Analytic, 0.3, 6, 190, 70, 65, , 20, Medium Fast, Mineral, , 25, 35, 70, 95, 55, 45
82, Magneton, , Magnet, Electric, Steel, Magnet Pull, Sturdy, Analytic, 1, 60, 60, 70, 163, , 20, Medium Fast, Mineral, , 50, 60, 95, 120, 70, 70
83, Farfetch'd, , Wild Duck, Normal, Flying, Keen Eye, Inner Focus, Defiant, 0.8, 15, 45, 70, 132, 50, 20, Medium Fast, Field, Flying, 52, 90, 55, 58, 62, 60
83, Galarian Farfetch'd, g, Wild Duck, Fighting, , Steadfast, , Scrappy, 0.8, 42, 45, 70, 132, , 20, Medium Fast, Field, Flying, 52, 95, 55, 58, 62, 55
84, Doduo, , Twin Bird, Normal, Flying, Run Away, Early Bird, Tangled Feet, 1.4, 39.2, 190, 70, 62, 50, 20, Medium Fast, Flying, , 35, 85, 45, 35, 35, 75
85, Dodrio, , Triple Bird, Normal, Flying, Run Away, Early Bird, Tangled Feet, 1.8, 85.2, 45, 70, 165, 50, 20, Medium Fast, Flying, , 60, 110, 70, 60, 60, 110
86, Seel, , Sea Lion, Water, , Thick Fat, Hydration, Ice Body, 1.1, 90, 190, 70, 65, 50, 20, Medium Fast, Field, Water 1, 65, 45, 55, 45, 70, 45
87, Dewgong, , Sea Lion, Water, Ice, Thick Fat, Hydration, Ice Body, 1.7, 120, 75, 70, 166, 50, 20, Medium Fast, Field, Water 1, 90, 70, 80, 70, 95, 70
88, Grimer, , Sludge, Poison, , Stench, Sticky Hold, Poison Touch, 0.9, 30, 190, 70, 65, 50, 20, Medium Fast, Amorphous, , 80, 80, 50, 40, 50, 25
88, Alolan Grimer, a, Sludge, Poison, Dark, Poison Touch, Gluttony, Power of Alchemy, 0.7, 42, 190, 70, 65, 50, 20, Medium Fast, Amorphous, , 80, 80, 50, 40, 50, 25
89, Muk, , Sludge, Poison, , Stench, Sticky Hold, Poison Touch, 1.2, 30, 75, 70, 175, 50, 20, Medium Fast, Amorphous, , 105, 105, 75, 65, 100, 50
89, Alolan Muk, a, Sludge, Poison, Dark, Poison Touch, Gluttony, Power of Alchemy, 1, 52, 75, 70, 175, 50, 20, Medium Fast, Amorphous, , 105, 105, 75, 65, 100, 50
90, Shellder, , Bivalve, Water, , Shell Armor, Skill Link, Overcoat, 0.3, 4, 190, 70, 61, 50, 20, Slow, Water 3, , 30, 65, 100, 45, 25, 40
91, Cloyster, , Bivalve, Water, Ice, Shell Armor, Skill Link, Overcoat, 1.5, 132.5, 60, 70, 184, 50, 20, Slow, Water 3, , 50, 95, 180, 85, 45, 70
92, Gastly, , Gas, Ghost, Poison, Levitate, , , 1.3, 0.1, 190, 70, 62, 50, 20, Medium Slow, Amorphous, , 30, 35, 30, 100, 35, 80
93, Haunter, , Gas, Ghost, Poison, Levitate, , , 1.6, 0.1, 90, 70, 142, 50, 20, Medium Slow, Amorphous, , 45, 50, 45, 115, 55, 95
94, Gengar, , Shadow, Ghost, Poison, Cursed Body, , , 1.5, 40.5, 45, 70, 225, 50, 20, Medium Slow, Amorphous, , 60, 65, 60, 130, 75, 110
94, Mega Gengar, m, Shadow, Ghost, Poison, Shadow Tag, , , 1.4, 40.5, 45, 70, 270, 50, 20, Medium Slow, Amorphous, , 60, 65, 80, 170, 95, 130
95, Onix, , Rock Snake, Rock, Ground, Rock Head, Sturdy, Weak Armor, 8.8, 210, 45, 70, 77, 50, 25, Medium Fast, Mineral, , 35, 45, 160, 30, 45, 70
96, Drowzee, , Hypnosis, Psychic, , Insomnia, Forewarn, Inner Focus, 1, 32.4, 190, 70, 66, 50, 20, Medium Fast, Human-Like, , 60, 48, 45, 43, 90, 42
97, Hypno, , Hypnosis, Psychic, , Insomnia, Forewarn, Inner Focus, 1.6, 75.6, 75, 70, 169, 50, 20, Medium Fast, Human-Like, , 85, 73, 70, 73, 115, 67
98, Krabby, , River Crab, Water, , Hyper Cutter, Shell Armor, Sheer Force, 0.4, 6.5, 225, 70, 65, 50, 20, Medium Fast, Water 3, , 30, 105, 90, 25, 25, 50
99, Kingler, , Pincer, Water, , Hyper Cutter, Shell Armor, Sheer Force, 1.3, 60, 60, 70, 166, 50, 20, Medium Fast, Water 3, , 55, 130, 115, 50, 50, 75
100, Voltorb, , Ball, Electric, , Soundproof, Static, Aftermath, 0.5, 10.4, 190, 70, 66, , 20, Medium Fast, Mineral, , 40, 30, 50, 55, 55, 100
100, Hisuian Voltorb, h, Ball, Electric, Grass, Soundproof, Static, Aftermath, 0.5, 13, 190, 70, 66, , 20, Medium Fast, Mineral, , 40, 30, 50, 55, 55, 100
101, Electrode, , Ball, Electric, , Soundproof, Static, Aftermath, 1.2, 66.6, 60, 70, 172, , 20, Medium Fast, Mineral, , 60, 50, 70, 80, 80, 150
101, Hisuian Electrode, h, Ball, Electric, Grass, Soundproof, Static, Aftermath, 1.2, 71, 60, 70, 172, , 20, Medium Fast, Mineral, , 60, 50, 70, 80, 80, 150
102, Exeggcute, , Egg, Grass, Psychic, Chlorophyll, , Harvest, 0.4, 2.5, 90, 70, 65, 50, 20, Slow, Grass, , 60, 40, 80, 60, 45, 40
103, Exeggutor, , Coconut, Grass, Psychic, Chlorophyll, , Harvest, 2, 120, 45, 70, 186, 50, 20, Slow, Grass, , 95, 95, 85, 125, 75, 55
103, Alolan Exeggutor, a, Coconut, Grass, Dragon, Frisk, , Harvest, 10.9, 415.6, 45, 70, 186, 50, 20, Slow, Grass, , 95, 105, 85, 125, 75, 45
104, Cubone, , Lonely, Ground, , Rock Head, Lightning Rod, Battle Armor, 0.4, 6.5, 190, 70, 64, 50, 20, Medium Fast, Monster, , 50, 50, 95, 40, 50, 35
105, Marowak, , Bone Keeper, Ground, , Rock Head, Lightning Rod, Battle Armor, 1, 45, 75, 70, 149, 50, 20, Medium Fast, Monster, , 60, 80, 110, 50, 80, 45
105, Alolan Marowak, a, Bone Keeper, Fire, Ghost, Cursed Body, Lightning Rod, Rock Head, 1, 34, 75, 70, 149, 50, 20, Medium Fast, Monster, , 60, 80, 110, 50, 80, 45
106, Hitmonlee, , Kicking, Fighting, , Limber, Reckless, Unburden, 1.5, 49.8, 45, 70, 159, 100, 25, Medium Fast, Human-Like, , 50, 120, 53, 35, 110, 87
107, Hitmonchan, , Punching, Fighting, , Keen Eye, Iron Fist, Inner Focus, 1.4, 50.2, 45, 70, 159, 100, 25, Medium Fast, Human-Like, , 50, 105, 79, 35, 110, 76
108, Lickitung, , Licking, Normal, , Own Tempo, Oblivious, Cloud Nine, 1.2, 65.5, 45, 70, 77, 50, 20, Medium Fast, Monster, , 90, 55, 75, 60, 75, 30
